,Model,Best Params,Train Recall,Train Precision,Train F1,Train Accuracy,Test Recall,Test Precision,Test F1,Test Accuracy,Data Type,Feature Length
0,logistic_regression 0,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.01}",0.6274245689655172,0.3389608499490613,0.44013984692431257,0.8201820940819423,0.6497844827586207,0.3483535528596187,0.4535539676570139,0.8236222384073805,regular,40
1,random_forest 1,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.6233836206896551,0.3991031390134529,0.48664563617245005,0.8518361153262519,0.6379310344827587,0.413986013986014,0.5021204410517388,0.8574896819616412,regular,40
2,xgboost 2,"{'subsample': 1.0, 'scale_pos_weight': 15, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",0.9733297413793104,0.18115724027276373,0.3054616165032127,0.5013657056145675,0.8825431034482759,0.1640625,0.2766891891891892,0.480213644088371,regular,40
3,naive_bayes 3,{},0.4307650862068966,0.4308811641067098,0.4308231173380035,0.8717754172989378,0.42780172413793105,0.43578485181119647,0.4317563893420337,0.8731488225297402,regular,40
4,isolation_forest 4,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.33728448275862066,0.33728448275862066,0.33728448275862066,0.8506828528072837,0.30603448275862066,0.323094425483504,0.314333148865523,0.8495994173343044,regular,40
5,logistic_regression 5,"{'solver': 'liblinear', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.01}",0.6274245689655172,0.3389608499490613,0.44013984692431257,0.8201820940819423,0.6497844827586207,0.3483535528596187,0.4535539676570139,0.8236222384073805,regular,33
6,random_forest 6,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.6228448275862069,0.3981401756500775,0.4857653114822985,0.8514415781487101,0.634698275862069,0.41045296167247386,0.49851883199322894,0.8561544064093226,regular,33
7,xgboost 7,"{'subsample': 0.8, 'scale_pos_weight': 15, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.8397090517241379,0.2321441870857228,0.36373183966392436,0.6690440060698027,0.790948275862069,0.22081829121540314,0.3452492944496708,0.662053896576839,regular,33
8,naive_bayes 8,{},0.4307650862068966,0.4308811641067098,0.4308231173380035,0.8717754172989378,0.42780172413793105,0.43578485181119647,0.4317563893420337,0.8731488225297402,regular,33
9,isolation_forest 9,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.33728448275862066,0.33728448275862066,0.33728448275862066,0.8506828528072837,0.30603448275862066,0.323094425483504,0.314333148865523,0.8495994173343044,regular,33
10,logistic_regression 10,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 10}",0.7950612216977906,0.8373316043512715,0.8156491228070176,0.8203023462617142,0.4859913793103448,0.30046635576282477,0.3713462330177027,0.814639475600874,oversample,40
11,random_forest 11,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.9992133524864902,0.541158818953062,0.7020811304431415,0.5759969902182092,0.9644396551724138,0.12498254433738305,0.2212881691185561,0.23537266326778344,oversample,40
12,xgboost 12,"{'subsample': 1.0, 'scale_pos_weight': 8, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",0.999247554552295,0.5053010256144174,0.671192437138886,0.5104829331691634,0.9978448275862069,0.11446229913473424,0.205367043690397,0.13012867200776887,oversample,40
13,naive_bayes 13,{},0.726554483890827,0.773964367690458,0.7495104525006614,0.7571824338190026,0.5818965517241379,0.2591170825335892,0.3585657370517928,0.7654770575382375,oversample,40
14,isolation_forest 14,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.14286202886654353,0.6340315725561627,0.23318260481214761,0.530200424105616,0.25646551724137934,0.28640192539109505,0.27060830017055143,0.8442583151250304,oversample,40
15,logistic_regression 15,"{'solver': 'lbfgs', 'penalty': 'l2', 'class_weight': 'balanced', 'C': 10}",0.7950612216977906,0.8373316043512715,0.8156491228070176,0.8203023462617142,0.4859913793103448,0.30046635576282477,0.3713462330177027,0.814639475600874,oversample,33
16,random_forest 16,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 10, 'class_weight': {0: 1, 1: 8}}",0.9992133524864902,0.5439092957012269,0.7043917493459995,0.5806655722005609,0.9655172413793104,0.12625052839227843,0.22330218068535826,0.2433843165816946,oversample,33
17,xgboost 17,"{'subsample': 1.0, 'scale_pos_weight': 10, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.8}",1.0,0.5000513083632632,0.6667122725407032,0.5001026061974143,1.0,0.11264870114105366,0.20248745363299148,0.11264870114105366,oversample,33
18,naive_bayes 18,{},0.726554483890827,0.773964367690458,0.7495104525006614,0.7571824338190026,0.5818965517241379,0.2591170825335892,0.3585657370517928,0.7654770575382375,oversample,33
19,isolation_forest 19,"{'contamination': 0.2, 'max_samples': 1.0, 'n_estimators': 300, 'random_state': 42}",0.14286202886654353,0.6340315725561627,0.23318260481214761,0.530200424105616,0.25646551724137934,0.28640192539109505,0.27060830017055143,0.8442583151250304,oversample,33
